title,duration,genre,imdb_rating,metascore_rating,votes
"Love, Death & Robots",6 min,"Animation, Short, Comedy",6.9,,"10,355"
Black and Blue,108 min,"Action, Crime, Drama",6.3,54,"10,338"
Point Blank,86 min,"Action, Thriller",5.7,37,"10,202"
Mr. Robot,51 min,"Crime, Drama, Thriller",9.9,,"10,202"
Batman: Hush,81 min,"Animation, Action, Adventure",6.9,,"10,176"
Attack on Titan,24 min,"Animation, Action, Adventure",9.9,,"10,119"
The Twilight Zone,60 min,"Drama, Fantasy, Horror",5.7,,"10,053"
Undone,23 min,"Animation, Drama, Fantasy",8.2,,"10,023"
Kalank,166 min,"Drama, Romance",3.6,,"9,948"
Mission Mangal,130 min,"Drama, History",6.5,,"9,882"
Honeyland,89 min,"Documentary, Drama",8.0,86,"9,870"
Warrior,60 min,"Action, Crime, Drama",8.2,,"9,866"
Les Misérables,104 min,"Crime, Drama, Thriller",7.6,78,"9,821"
Paradise Hills,95 min,"Fantasy, Sci-Fi, Thriller",5.7,50,"9,812"
The Passage,60 min,"Action, Adventure, Drama",7.4,,"9,810"
Sorry We Missed You,101 min,Drama,7.6,82,"9,809"
Killer Inside: The Mind of Aaron Hernandez,202 min,"Documentary, Crime, Sport",7.4,,"9,800"
The Righteous Gemstones,36 min,Comedy,8.1,,"9,782"
"Love, Death & Robots",13 min,"Animation, Short, Comedy",6.5,,"9,768"
Noelle,100 min,"Comedy, Family, Fantasy",6.2,48,"9,717"
Enaaya,25 min,Drama,8.6,,"9,674"
The Last Thing He Wanted,115 min,"Crime, Drama, Mystery",4.2,35,"9,637"
Marianne,50 min,Horror,7.5,,"9,633"
Weathering with You,112 min,"Animation, Drama, Family",7.6,72,"9,629"
Reign of the Supermen,87 min,"Animation, Action, Adventure",6.8,,"9,584"
Little Monsters,93 min,"Comedy, Horror",6.3,59,"9,569"
Escape Plan: The Extractors,97 min,"Action, Crime, Thriller",4.4,,"9,518"
Dream Girl,132 min,"Comedy, Romance",7.1,,"9,511"
Money Heist,57 min,"Action, Crime, Mystery",9.5,,"9,496"
